,Positive,Neutral,Negative,que
1136,0.5772193670272827,0.2596946358680725,0.037048324942588806,0.5772193670272827
1137,0.13473699986934662,0.7959988713264465,0.056215494871139526,0.7959988713264465
1138,0.011455799452960491,0.9434803128242493,0.04203351214528084,0.9434803128242493
1139,0.962899923324585,0.025897353887557983,0.0007865194347687066,0.962899923324585
114,0.39517301321029663,0.3510415554046631,0.021406427025794983,0.39517301321029663
1140,0.07758094370365143,0.45658227801322937,0.44472941756248474,0.45658227801322937
1141,0.10359391570091248,0.14340804517269135,0.6264950037002563,0.6264950037002563
1142,0.08200760185718536,0.8723272681236267,0.036990754306316376,0.8723272681236267
1143,0.007359846495091915,0.8718156814575195,0.11526766419410706,0.8718156814575195
1144,0.8078084588050842,0.16857783496379852,0.0007283135200850666,0.8078084588050842
1145,0.4190688133239746,0.5481234788894653,0.012370595708489418,0.5481234788894653
1146,0.08368983864784241,0.66737300157547,0.21544340252876282,0.66737300157547
1147,0.0867871642112732,0.9067131280899048,0.004609695635735989,0.9067131280899048
1148,0.14257033169269562,0.8533074855804443,0.00046736764488741755,0.8533074855804443
1149,0.9414372444152832,0.05524138733744621,0.0002491879276931286,0.9414372444152832
115,0.2816741466522217,0.7173274755477905,0.00016206219152081758,0.7173274755477905
1150,0.20434923470020294,0.7609390020370483,0.024892155081033707,0.7609390020370483
1151,0.10909012705087662,0.6501968502998352,0.14894545078277588,0.6501968502998352
1152,0.03450379893183708,0.11239879578351974,0.7884587049484253,0.7884587049484253
1153,0.027955595403909683,0.8481169939041138,0.11083076894283295,0.8481169939041138
1154,0.3062843680381775,0.6063768863677979,0.06953699886798859,0.6063768863677979
1155,0.026362812146544456,0.9223803877830505,0.026510078459978104,0.9223803877830505
1156,0.010389134287834167,0.948553204536438,0.03865743800997734,0.948553204536438
1157,0.8620687127113342,0.08752034604549408,0.011189999058842659,0.8620687127113342
1158,0.012149561196565628,0.2422298640012741,0.7271820306777954,0.7271820306777954
1159,0.11020874977111816,0.2883070707321167,0.5853643417358398,0.5853643417358398
116,0.36211836338043213,0.6371069550514221,1.6543073797947727e-05,0.6371069550514221
1160,0.18218612670898438,0.7600215077400208,0.041856877505779266,0.7600215077400208
1161,0.31150394678115845,0.5125374794006348,0.14774084091186523,0.5125374794006348
1162,0.2625589966773987,0.45057567954063416,0.17563886940479279,0.45057567954063416
1163,0.5194789171218872,0.41146644949913025,0.05222992226481438,0.5194789171218872
1164,0.00945151224732399,0.8040511012077332,0.18007275462150574,0.8040511012077332
1165,0.43495360016822815,0.32335761189460754,0.1633509248495102,0.43495360016822815
1166,0.5168572068214417,0.40326011180877686,0.026256509125232697,0.5168572068214417
1167,0.08554898947477341,0.8179920315742493,0.09002242237329483,0.8179920315742493
